"6k1/1pR3pp/2bN1p2/4p3/8/2n2P1P/4r1PK/8 b - - 4 39","c3d5 c7c8 c6e8 c8e8","602","endgame mate mateIn2 short"
"8/5p1k/4b1p1/6Qp/2P5/rP1P4/5PPP/4R1K1 w - - 1 30","e1e6 a3a1 g5c1 a1c1 e6e1 c1e1","689","backRankMate endgame long mate mateIn3 queenRookEndgame"
"6k1/p1R2p2/5P2/6N1/r2r4/4K3/8/8 b - - 7 43","d4f4 c7c8","622","endgame mate mateIn1 oneMove"
"6k1/2pR4/p1Q1pKP1/4Pp2/2P2P2/4p3/6q1/8 b - - 14 44","g2c6 d7d8 c6e8 d8e8","600","endgame mate mateIn2 queenRookEndgame short"
"r1bq1b1r/2p3p1/p1n1k2p/1p1np3/8/1B1P1Q2/PPP2PPP/RNB1K2R w KQ - 2 11","b3d5 d8d5 f3d5 e6d5","685","advantage opening short"
"1k1r1bnr/1p4p1/5p2/3p4/1n1P4/NP2Pb2/2PB1P1P/R3KBR1 w Q - 2 18","d2b4 f8b4 c2c3 b4c3","699","bodenMate mate mateIn2 middlegame short"
"4r1k1/p1p3pp/8/3p4/3b2n1/4B3/PPP2PPP/RN4K1 w - - 2 18","e3d4 e8e1","600","endgame mate mateIn1 oneMove"
"3Q1bk1/5p1p/4pPp1/4q3/1p2P3/6rP/2P3B1/3R3K b - - 1 38","g3a3 d8f8 g8f8 d1d8","619","attraction endgame mate mateIn2 sacrifice short"
"3r2k1/1p3ppp/8/qpPPnb2/P7/B4P2/3Q2PP/2r2R1K w - - 0 25","d2a5 c1f1","650","backRankMate hangingPiece mate mateIn1 middlegame oneMove"
"1k1r4/2pqn3/1p5p/4Q1p1/4P3/8/1B3PPP/r3R1K1 w - - 0 27","e1a1 d7d1 a1d1 d8d1","600","backRankMate endgame mate mateIn2 sacrifice short"
"r2q1nrk/ppp1bpp1/3p1nbp/4p1NP/1P2P3/P1NP4/1BP1BPP1/R2Q1RK1 b - - 0 14","g6h7 g5f7","652","kingsideAttack mate mateIn1 oneMove opening smotheredMate"
"3r1b2/p1kp2rp/3q2p1/QppB1p2/5P2/4P3/PPP1NP1P/2KR4 b - - 6 23","c7b8 a5d8","670","hangingPiece mate mateIn1 middlegame oneMove queensideAttack"
"r1bnkb1r/ppp2ppp/8/4N3/2B1n3/8/PPP2PPP/RNB1K2R w KQkq - 0 8","c4f7 d8f7 e5f7 e8f7","678","advantage opening short"
"r5k1/pp3ppp/7r/2p5/4PN2/2P1n1Bq/PP1Q3P/3R1R1K b - - 12 26","h3g3 d2d8 a8d8 d1d8","690","backRankMate mate mateIn2 middlegame sacrifice short"
"4rRk1/ppp1r2p/1n1bp1pB/6N1/4P3/2P5/PP4PP/5RK1 b - - 5 21","e8f8 f1f8","682","kingsideAttack mate mateIn1 middlegame oneMove"
"3r4/1p3k2/p3p2p/5pp1/PPP2n2/2RrKP2/1B3P2/R7 w - - 2 32","c3d3 d8d3","688","endgame hookMate mate mateIn1 oneMove"
"r4q1k/pp4rp/3p1N1R/4p2R/2n1P3/P6P/1P3K1P/8 b - - 0 26","a8c8 h6h7 g7h7 h5h7","607","arabianMate mate mateIn2 middlegame short"
"8/pp1b2pk/6q1/4pr2/2pPQ3/2P1B2P/PP4P1/1R4K1 w - - 2 25","d4d5 f5f1 b1f1 g6e4","674","advantage discoveredAttack endgame short"
"4r2k/6pp/8/3BQ3/8/1Q5P/4pPPK/4q3 b - - 1 40","e8e5 b3b8 e5e8 b8e8","657","backRankMate endgame fork mate mateIn2 short"
"8/5k2/7p/p4r2/8/2P4P/3R1pP1/5K2 w - - 2 42","d2f2 f5f2 f1f2 a5a4","632","crushing defensiveMove endgame rookEndgame short"
"3r2k1/1R3ppp/1p6/p2P4/4rP2/P3P3/KP1B1b2/8 b - - 2 37","d8d6 b7b8 d6d8 b8d8 e4e8 d8e8","658","backRankMate endgame long mate mateIn3"
"8/3K1k2/6p1/4P2p/5n1P/8/8/8 b - - 1 60","f4g2 e5e6 f7f6 e6e7","600","advancedPawn crushing endgame knightEndgame short"
"r1b2qk1/pp1n1r1R/2p1p3/3p3Q/2PPpB2/2N1P1P1/PP3P2/2K4R b - - 0 21","f7h7 h5h7","600","kingsideAttack master mate mateIn1 middlegame oneMove"
"rnb1kBnr/1p3ppp/2p1p3/p7/2P1q3/8/PP2NPPP/R2QKB1R b KQkq - 1 9","e8f8 d1d8","600","mate mateIn1 oneMove opening"
"8/8/p5p1/2q5/2kp1P1P/5QP1/P6K/8 w - - 7 52","h4h5 c5h5 f3h5 g6h5","695","crushing endgame master queenEndgame short"
"r3R2k/1pp2Qpr/p1p2p2/q1P4p/8/7P/2P2PP1/3R2K1 b - - 7 27","a8e8 f7e8","662","backRankMate endgame mate mateIn1 oneMove"
"4r1k1/pQ4pp/2p2p2/8/3P4/1P2q3/P5PP/3R2K1 w - - 1 32","g1h1 e3e1 d1e1 e8e1","653","backRankMate endgame mate mateIn2 sacrifice short"
"4r1k1/5pb1/p1Q3pp/5q2/3p4/P3P1Pb/5P1P/1RR3K1 b - - 1 30","e8c8 c6c8 f5c8 c1c8 h3c8 b1b8 g7f8 b8c8","665","crushing middlegame pin veryLong"
"r4Q1k/4N1pp/1pN5/8/p5qP/1PP5/1P4P1/5RK1 b - - 0 31","a8f8 f1f8","628","backRankMate endgame mate mateIn1 oneMove"
"b4rk1/2q2pbp/4p1p1/2Npn1B1/3P4/2PB1Q2/6PP/5RK1 w - - 0 21","d4e5 c7c5","696","advantage hangingPiece middlegame oneMove"
"5r1r/p1p1kq1n/2p1p2Q/2b1P3/8/2N5/PPP3PP/R1B1R2K w - - 1 19","c3e4 f7f1 e1f1 f8f1","615","backRankMate mate mateIn2 middlegame sacrifice short"
"8/2pk4/6p1/2P5/7r/1P6/P4P2/4RK2 w - - 0 29","e1c1 h4h1 f1e2 h1c1","669","crushing endgame rookEndgame short skewer"
"4r1k1/1p4pp/p4p2/1P1b4/2pN1P1P/2P3P1/RP3P2/R3r1K1 w - - 1 29","a1e1 e8e1 g1h2 e1h1","600","endgame kingsideAttack mate mateIn2 short"
"rR5k/6pp/3Q1p2/6q1/8/r3P3/5PPP/5RK1 b - - 5 29","a8b8 d6b8","677","backRankMate endgame mate mateIn1 oneMove"
"r1b2rk1/5ppp/4p3/p2p4/4n1Q1/1P6/qBP1BPPP/2KR3R b - - 1 18","f7f5 g4g7","639","kingsideAttack mate mateIn1 middlegame oneMove"
"8/8/7p/2K2N2/6p1/7k/8/8 w - - 9 63","f5h6 g4g3 h6f5 g3g2 f5e3 g2g1q","650","advancedPawn crushing endgame knightEndgame long pin promotion"
"5rk1/2pb1ppp/pp1p4/3P2q1/P1PN4/2P1Q3/5PPP/4R1K1 b - - 0 22","f8e8 e3e8 d7e8 e1e8","616","backRankMate endgame mate mateIn2 short"
"r5k1/p2b1rpp/4n3/3Q4/2p1R3/8/PPP3PP/3R1q1K w - - 2 29","d1f1 f7f1","684","backRankMate mate mateIn1 middlegame oneMove"
"rn1qkb1r/pppnp2p/6Q1/3pp3/3P4/3B4/PPP2PPP/RNB1K2R b KQkq - 0 10","h7g6 d3g6","617","bodenMate mate mateIn1 oneMove opening"
"1r6/8/5R2/7B/2P1b2P/2k1P1P1/5P2/1r1R2K1 w - - 1 41","d1b1 b8b1 h5d1 b1d1 g1h2 d1h1","684","endgame long mate mateIn3"
"r5nQ/ppk1n2p/1b1q4/2p1p3/2B1P1b1/P7/1PP2PPP/RNB1K2R w KQ - 1 13","h8g7 d6d1","689","mate mateIn1 middlegame oneMove"
"8/7R/p7/8/8/5rkP/5r2/4R1K1 w - - 1 31","g1h1 f2f1 e1f1 f3f1","612","endgame mate mateIn2 rookEndgame short"
"8/p3P2R/1p6/8/kr5r/8/2pBn1PK/5R2 w - - 2 58","h7h4 b4h4","651","anastasiaMate endgame master mate mateIn1 oneMove"
"r6r/5pk1/p1p1p1p1/1p1R4/3P1PQ1/2P2n2/PP5P/7K w - - 0 26","d5d7 h8h2","659","arabianMate endgame mate mateIn1 oneMove"
"8/5pk1/3p2p1/r2P3p/8/8/5PPP/2R3K1 w - - 0 35","c1c6 a5a1 c6c1 a1c1","611","backRankMate endgame mate mateIn2 rookEndgame short"
"8/7p/6p1/1R6/1p3P2/4k1P1/r6P/4K3 w - - 10 38","b5b4 a2a1 b4b1 a1b1","697","endgame mate mateIn2 rookEndgame short"
"8/8/1kp5/6P1/p7/1p5R/7P/7K w - - 0 54","g5g6 b3b2 h3g3 b2b1q","636","advancedPawn crushing endgame promotion rookEndgame short"
"3r1k2/2R2p1p/1R4p1/p3p3/4P3/4n3/P5PP/7K w - - 1 26","b6b7 d8d1","649","endgame mate mateIn1 oneMove"
"8/8/8/8/4p3/4pkp1/R4p2/5K2 w - - 0 60","a2a8 e3e2","600","advancedPawn endgame mate mateIn1 oneMove rookEndgame"
"1Q6/5ppk/4R2p/2b5/8/3p4/P4RPP/3q2K1 w - - 1 33","e6e1 d1e1","641","endgame hangingPiece mate mateIn1 oneMove pin"
"8/2k5/5p2/3KpP1p/P6P/8/8/8 w - - 1 50","d5e6 e5e4 e6f6 e4e3 f6g7 e3e2 f5f6 e2e1q","686","advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong"
"8/8/8/3p3p/p2N2p1/6P1/1k5P/3K4 w - - 2 43","d1d2 a4a3 d2d3 a3a2","607","advancedPawn crushing endgame knightEndgame short"
"8/4kpRR/4p3/2r3P1/8/1P1n4/1K6/8 w - - 1 57","b2a3 c5a5","656","anastasiaMate endgame mate mateIn1 oneMove"
"2r5/5kbp/1pq2p2/1b1NP1p1/8/4PQ2/PPP2PPP/2KR3R w - - 1 22","e5f6 c6c2","629","mate mateIn1 middlegame oneMove queensideAttack"
"8/N1b4p/pp4p1/2p1kp2/P1P1p3/4K1PP/5P2/8 b - - 13 41","c7d8 a7c6 e5e6 c6d8","607","advantage endgame fork short"
"4r3/p1k2p1p/1p4p1/2pP4/P2bP3/3n1P2/R2B2PP/5R1K w - - 1 26","f1d1 d3f2 h1g1 f2d1","617","crushing discoveredAttack endgame fork short"
"2r3k1/Q4ppp/b3p3/p2pP3/2qN4/8/P2B1PPP/4R1K1 w - - 4 24","e1c1 c4c1 d2c1 c8c1","600","backRankMate mate mateIn2 middlegame short"
"6k1/1p3ppp/p3r3/5N2/3R1P2/P7/6PK/2r5 b - - 1 34","g7g6 d4d8 e6e8 d8e8","672","endgame mate mateIn2 short"
"3qr1k1/p4p1p/1p4p1/nP2p3/3bP3/B4N2/P4PPP/2QR2K1 w - - 0 19","c1h6 d4f2 g1f2 d8d1","699","crushing discoveredAttack kingsideAttack middlegame short"
"1k2rb2/1pp1qp2/p2p4/3P4/5Q2/8/PPP2PPP/R4RK1 w - - 1 25","f1e1 e7e1 a1e1 e8e1","602","backRankMate endgame mate mateIn2 short"
"4r1k1/6pp/R2NP1p1/8/5P2/1p4PK/pr5P/8 b - - 1 41","e8e6 a6a8 e6e8 a8e8","607","endgame mate mateIn2 short"
"r3k1nr/1pp1qppp/p1n5/8/1bBPp3/1Q2P3/PP1B1PPP/RN2K2R w KQkq - 4 13","c4f7 e7f7 b3f7 e8f7","654","advantage opening short"
"rn1R1rk1/pbp2ppp/8/4p1P1/5n1P/1P2qP2/P1P1N3/1R1QK3 b - - 3 20","b7f3 d8f8 g8f8 d1d8","679","attraction kingsideAttack mate mateIn2 middlegame short"
"rnb2rk1/pp3ppp/8/4N3/2B5/P1n5/5PPP/R1B1K2R b KQ - 0 13","f8e8 c4f7 g8f8 f7e8","654","advantage fork middlegame short"
"2k5/ppp2r1p/6p1/3p1nB1/3P4/q1P4Q/P1P1R1PP/6K1 b - - 7 22","c8b8 e2e8","600","backRankMate endgame mate mateIn1 oneMove"
"2k2r2/p5pp/1p4p1/3Qp3/1PP1P3/P7/5qPP/R6K w - - 3 33","d5e5 f2f1 a1f1 f8f1","667","backRankMate endgame mate mateIn2 sacrifice short"
"6r1/R7/1r3p1k/1p2pK1P/1P2P1p1/2P4R/8/8 w - - 0 44","h3g3 g8g5","683","endgame mate mateIn1 oneMove rookEndgame"
"4r1k1/5ppp/8/p1p2b1P/PbQ5/1B3PK1/1B1q2P1/7R b - - 1 38","d2b2 c4f7 g8h8 f7e8","676","backRankMate fork mate mateIn2 middlegame short"
"k2q2r1/pp4p1/2p2p1p/3rn2P/6P1/2P2R2/PP4QB/K4R2 w - - 0 29","h2e5 d5d1 f1d1 d8d1","687","backRankMate mate mateIn2 middlegame short"
"6k1/3p1ppp/N1q5/3nb3/8/6P1/PR2QP1P/6K1 b - - 0 28","e5b2 e2e8","625","endgame mate mateIn1 oneMove"
"3r2k1/p3Qp1p/6p1/3qb3/8/7P/5PP1/1RR3K1 w - - 2 26","c1d1 d5d1 b1d1 d8d1","625","endgame mate mateIn2 short"
"4q1k1/p4ppp/5B2/6r1/8/PP3Q2/3p1PPP/3R2K1 w - - 2 26","f6g5 e8e1 d1e1 d2e1q","671","advancedPawn endgame mate mateIn2 promotion short"
"7k/1p1b3p/p7/P3p3/4P2r/5KRp/8/6R1 b - - 1 40","h3h2 g3g8","634","endgame mate mateIn1 oneMove"
"8/5P1p/8/8/8/1kp5/p6P/2K5 w - - 0 44","f7f8q a2a1q","699","advancedPawn endgame mate mateIn1 oneMove promotion queenEndgame"
"7r/6P1/7P/5k1K/8/5P2/8/8 b - - 0 62","h8g8 h6h7 g8g7 h7h8q","693","advancedPawn crushing endgame promotion rookEndgame short"
"2nR2k1/pp2rppp/8/4p3/4P3/1P4P1/P4PBP/6K1 b - - 1 25","e7e8 d8e8","600","backRankMate endgame hangingPiece mate mateIn1 oneMove"
"8/6k1/R7/7p/6pP/5pP1/1r3P2/5K2 w - - 4 46","a6c6 b2b1 c6c1 b1c1","618","endgame mate mateIn2 rookEndgame short"
"r3kb1r/pp1np1pp/2p5/3Pp3/N3P3/1PB2P1n/P5PP/2RQ1RqK w kq - 11 22","f1g1 h3f2","689","mate mateIn1 middlegame oneMove smotheredMate"
"1rbr2k1/p4ppp/1p2Pq2/4R3/2p5/2Nn1NP1/1P1Q1PBP/3R2K1 b - - 0 18","d3e5 d2d8 f6d8 d1d8","638","kingsideAttack mate mateIn2 middlegame short"
"5rk1/5ppp/2p1q3/1p2p3/4Q1PP/PP1B1P2/K7/3r3R b - - 0 28","d1h1 e4h7","657","endgame mate mateIn1 oneMove"
